"Timestamp","What is your gender?","Which continent are you from/represents your current status? (Choose the region you currently live in. If unsure, just pick what feels closest)","What is your age range?","How long have you been reading manga?","How familiar are you with the manga?","In a relationship, which matters more to you?","Which team are you?"
"2025/06/18 11:44:35 PM MDT","Male","South Asia (India, Pakistan, Bangladesh, Sri Lanka)","18 - 24","3 - 5 years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Rui"
"2025/06/18 11:58:33 PM MDT","Male","North America","13 - 17","3 - 5 years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/06/19 12:00:51 AM MDT","Male","South Asia (India, Pakistan, Bangladesh, Sri Lanka)","18 - 24","3 - 5 years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/19 12:04:11 AM MDT","Female","Europe (Including Russia)","18 - 24","3 - 5 years","Finished the manga recently (less than a year - 2 years ago)","Mutual support and growth","Team Rui"
"2025/06/19 1:20:40 AM MDT","Male","Southeast Asia (Philippines, Indonesia, Vietnam, etc.)","35 - 44","5+ years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Hina"
"2025/06/19 1:55:21 AM MDT","Male","North America","18 - 24","5+ years","Finished the manga a while ago (3+ years ago)","","Team Rui"
"2025/06/19 2:30:05 AM MDT","Male","Europe (Including Russia)","35 - 44","5+ years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Hina"
"2025/06/19 3:50:15 AM MDT","Male","North America","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Rui"
"2025/06/19 4:49:25 AM MDT","Male","South Asia (India, Pakistan, Bangladesh, Sri Lanka)","18 - 24","1 - 2 years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/06/19 5:53:46 AM MDT","Male","North America","18 - 24","5+ years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/06/19 6:28:26 AM MDT","Male","Europe (Including Russia)","35 - 44","5+ years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Rui"
"2025/06/19 9:17:25 AM MDT","Male","North America","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/19 9:24:45 AM MDT","Male","North America","25 - 34","1 - 2 years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Rui"
"2025/06/19 9:30:12 AM MDT","Male","North America","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/19 10:00:26 AM MDT","Male","South Asia (India, Pakistan, Bangladesh, Sri Lanka)","18 - 24","3 - 5 years","Have only seen the anime adaptation","Exciting physical chemistry","Team Hina"
"2025/06/19 11:07:52 AM MDT","Male","Europe (Including Russia)","13 - 17","Less than a year","Have only seen the anime adaptation","Deep emotional connection","Team Rui"
"2025/06/19 11:21:29 AM MDT","Male","Europe (Including Russia)","45+","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/19 11:22:38 AM MDT","Non-binary/other","Europe (Including Russia)","25 - 34","1 - 2 years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/06/19 11:24:30 AM MDT","Male","Europe (Including Russia)","45+","3 - 5 years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Hina"
"2025/06/19 11:34:17 AM MDT","Male","Southeast Asia (Philippines, Indonesia, Vietnam, etc.)","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/19 11:50:49 AM MDT","Male","North America","35 - 44","5+ years","Finished the manga a while ago (3+ years ago)","Stability and reliability","Team Rui"
"2025/06/19 12:07:03 PM MDT","Male","North America","35 - 44","1 - 2 years","Finished the manga recently (less than a year - 2 years ago)","Stability and reliability","Team Rui"
"2025/06/19 3:14:37 PM MDT","Male","North America","18 - 24","1 - 2 years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Rui"
"2025/06/19 3:16:07 PM MDT","Male","North America","25 - 34","3 - 5 years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/19 5:04:34 PM MDT","Female","Europe (Including Russia)","13 - 17","Less than a year","Have only seen the anime adaptation","Stability and reliability","Team Rui"
"2025/06/19 5:17:40 PM MDT","Male","Europe (Including Russia)","18 - 24","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Rui"
"2025/06/19 7:26:59 PM MDT","Male","North America","18 - 24","3 - 5 years","Finished the manga recently (less than a year - 2 years ago)","Mutual support and growth","Team Rui"
"2025/06/19 7:42:33 PM MDT","Male","Europe (Including Russia)","18 - 24","3 - 5 years","Have only seen the anime adaptation","Stability and reliability","Team Rui"
"2025/06/19 9:48:55 PM MDT","Male","South Asia (India, Pakistan, Bangladesh, Sri Lanka)","18 - 24","3 - 5 years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/19 9:49:42 PM MDT","Male","South Asia (India, Pakistan, Bangladesh, Sri Lanka)","18 - 24","3 - 5 years","Finished the manga recently (less than a year - 2 years ago)","Mutual support and growth","Team Hina"
"2025/06/19 10:31:08 PM MDT","Male","East Asia (China, Japan, Korea, Taiwan, etc.)","18 - 24","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/19 10:31:43 PM MDT","Male","East Asia (China, Japan, Korea, Taiwan, etc.)","18 - 24","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/19 11:02:02 PM MDT","Male","North America","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Rui"
"2025/06/19 11:45:50 PM MDT","Male","North America","35 - 44","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/20 1:52:41 AM MDT","Male","Europe (Including Russia)","18 - 24","5+ years","Finished the manga recently (less than a year - 2 years ago)","Mutual support and growth","Team Rui"
"2025/06/20 4:38:42 AM MDT","Male","North America","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Hina"
"2025/06/20 6:22:04 AM MDT","Male","Europe (Including Russia)","18 - 24","3 - 5 years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/20 7:32:42 AM MDT","Male","Oceania","25 - 34","5+ years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/06/20 12:21:31 PM MDT","Male","North America","18 - 24","1 - 2 years","Finished the manga recently (less than a year - 2 years ago)","Mutual support and growth","Team Rui"
"2025/06/20 4:40:19 PM MDT","Male","Europe (Including Russia)","18 - 24","3 - 5 years","Finished the manga recently (less than a year - 2 years ago)","Mutual support and growth","Team Rui"
"2025/06/20 11:53:00 PM MDT","Male","Southeast Asia (Philippines, Indonesia, Vietnam, etc.)","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Rui"
"2025/06/21 1:31:45 AM MDT","Male","Europe (Including Russia)","35 - 44","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/21 6:36:55 AM MDT","Male","Europe (Including Russia)","35 - 44","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/21 8:02:54 AM MDT","Male","Europe (Including Russia)","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Exciting physical chemistry","Team Rui"
"2025/06/21 11:43:18 AM MDT","Male","Europe (Including Russia)","25 - 34","1 - 2 years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Rui"
"2025/06/21 10:42:48 PM MDT","Male","North America","18 - 24","5+ years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Rui"
"2025/06/22 5:45:27 AM MDT","Male","Oceania","18 - 24","3 - 5 years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Hina"
"2025/06/22 11:58:38 AM MDT","Male","North America","13 - 17","1 - 2 years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/06/22 1:59:02 PM MDT","Male","South America","18 - 24","Less than a year","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/06/22 2:36:52 PM MDT","Male","North America","18 - 24","3 - 5 years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/06/22 7:42:55 PM MDT","Male","North America","25 - 34","3 - 5 years","Finished the manga a while ago (3+ years ago)","Stability and reliability","Team Rui"
"2025/06/23 7:38:01 AM MDT","Male","North America","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Rui"
"2025/06/23 7:38:34 AM MDT","Male","North America","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Rui"
"2025/06/23 10:27:42 AM MDT","Male","North America","25 - 34","5+ years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/06/26 8:31:44 PM MDT","Male","East Asia (China, Japan, Korea, Taiwan, etc.)","18 - 24","3 - 5 years","Not familiar/just curious","Deep emotional connection","Team Rui"
"2025/06/29 6:34:05 AM MDT","Male","North America","25 - 34","Less than a year","Finished the manga recently (less than a year - 2 years ago)","Mutual support and growth","Team Hina"
"2025/06/29 1:31:28 PM MDT","Male","Europe (Including Russia)","13 - 17","1 - 2 years","Finished the manga recently (less than a year - 2 years ago)","Stability and reliability","Team Rui"
"2025/06/30 5:56:42 PM MDT","Male","North America","18 - 24","Less than a year","Finished the manga recently (less than a year - 2 years ago)","Mutual support and growth","Team Rui"
"2025/07/01 8:52:02 AM MDT","Male","South Asia (India, Pakistan, Bangladesh, Sri Lanka)","18 - 24","3 - 5 years","Finished the manga recently (less than a year - 2 years ago)","Stability and reliability","Team Hina"
"2025/07/01 7:43:04 PM MDT","Male","North America","13 - 17","3 - 5 years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/07/03 12:46:28 PM MDT","Male","North America","13 - 17","5+ years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Rui"
"2025/07/04 1:57:32 PM MDT","Male","Europe (Including Russia)","45+","5+ years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Hina"
